,ID,File,Language,Dialect,Vernacular Title,Licence Type,Licence Version,CC Licence Link,Copyright Holder,Copyright Years,Translation by
755,sanbur,E:\Work\eBible\projects\sanbur\copr.htm,Sanskrit,,Sanskrit Bible (NT) in Burmese Script (သတျဝေဒး၊),by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,SanskritBible.in,copyright © 2018,
756,sandev,E:\Work\eBible\projects\sandev\copr.htm,Sanskrit,,Sanskrit Bible (NT) in Devanagari Script (सत्यवेदः।),by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,SanskritBible.in,copyright © 2018,
757,sanguj,E:\Work\eBible\projects\sanguj\copr.htm,Sanskrit,,Sanskrit Bible (NT) in Gujarati Script,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,SanskritBible.in,copyright © 2018,
758,sanhk,E:\Work\eBible\projects\sanhk\copr.htm,Sanskrit,,Sanskrit Bible (NT) in Harvard-Kyoto Script,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,SanskritBible.in,copyright © 2018,
759,sanias,E:\Work\eBible\projects\sanias\copr.htm,Sanskrit,,Sanskrit Bible (NT) in IAST Script (satyavedaḥ|),by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,SanskritBible.in,copyright © 2018,
760,saniso,E:\Work\eBible\projects\saniso\copr.htm,Sanskrit,,Sanskrit Bible (NT) in ISO Script (satyavēdaḥ|),by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,SanskritBible.in,copyright © 2018,
761,sanitr,E:\Work\eBible\projects\sanitr\copr.htm,Sanskrit,,Sanskrit Bible (NT) in ITRANS Script,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,SanskritBible.in,copyright © 2018,
762,sankhm,E:\Work\eBible\projects\sankhm\copr.htm,Saṃskṛtam,,Sanskrit Bible (NT) in Khmer Script,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,SanskritBible.in,copyright © 2018,
763,sanmal,E:\Work\eBible\projects\sanmal\copr.htm,Saṃskṛtam,,Sanskrit Bible (NT) in Malayalam Script (സത്യവേദഃ।),by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,SanskritBible.in,copyright © 2018,
764,sanori,E:\Work\eBible\projects\sanori\copr.htm,Saṃskṛtam,,0 Sanskrit Bible (NT) in Oriya Script (ସତ୍ୟୱେଦଃ।),by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,SanskritBible.in,copyright © 2018,
765,sanpun,E:\Work\eBible\projects\sanpun\copr.htm,Saṃskṛtam,,0 Sanskrit Bible (NT) in Punjabi Script (ਸਤ੍ਯਵੇਦਃ।),by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,SanskritBible.in,copyright © 2018,
766,sansin,E:\Work\eBible\projects\sansin\copr.htm,Saṃskṛtam,,Sanskrit Bible (NT) in Sinhala Script (සත්‍යවේදඃ।),by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,SanskritBible.in,copyright © 2018,
767,santam,E:\Work\eBible\projects\santam\copr.htm,Saṃskṛtam,,Sanskrit Bible (NT) in Tamil Script,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,SanskritBible.in,copyright © 2018,
768,santel,E:\Work\eBible\projects\santel\copr.htm,Saṃskṛtam,,Sanskrit Bible (NT) in Telugu Script (సత్యవేదః।),by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,SanskritBible.in,copyright © 2018,
769,santha,E:\Work\eBible\projects\santha\copr.htm,Saṃskṛtam,,Sanskrit Bible (NT) in Thai Script (สตฺยเวท:ฯ),by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,SanskritBible.in,copyright © 2018,
770,santib,E:\Work\eBible\projects\santib\copr.htm,Saṃskṛtam,,Sanskrit Bible (NT) in Tibetan Script (སཏྱཝེདཿ།),by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,SanskritBible.in,copyright © 2018,
771,sanurd,E:\Work\eBible\projects\sanurd\copr.htm,Saṃskṛtam,,Sanskrit Bible (NT) in Urdu Script (سَتْیَویدَح۔),by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,SanskritBible.in,copyright © 2018,
772,sanvel,E:\Work\eBible\projects\sanvel\copr.htm,Saṃskṛtam,,Sanskrit Bible (NT) in Velthuis Script (satyaveda.h|),by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,SanskritBible.in,copyright © 2018,
774,sbk,E:\Work\eBible\projects\sbk\copr.htm,Kisafwa (Safwa),,Biblia Takatifu,by,4.0,http://creativecommons.org/licenses/by/4.0/,Door43 Worldwide Mission Community,copyright © 2020,Translation by: Door43 Worldwide Mission Community
775,sbs,E:\Work\eBible\projects\sbs\copr.htm,Chikuahane (Kuhane),,Kuhane Bible,by,4.0,http://creativecommons.org/licenses/by/4.0/,Door 43 International Mission Community,copyright © 2020,Translation by: Door 43 International Mission Community
795,spabes,E:\Work\eBible\projects\spabes\copr.htm,Español (Spanish),Latin America/Mexico,La Biblia en Español Sencillo,by,4.0,http://creativecommons.org/licenses/by/4.0/,AudioBiblia.org /Irma Flores,"copyright © 2018, 2019",Translation by: AudioBiblia.org
797,spapddpt,E:\Work\eBible\projects\spapddpt\copr.htm,Español (Spanish),South America,Palabra de Dios para ti,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,Asociacion Biblica Latinoamericana,copyright © 2020,Translation by: Asociacion Biblica Latinoamericana
800,spavbl,E:\Work\eBible\projects\spavbl\copr.htm,Español (Spanish),,Versión Biblia Libre,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,Jonathan Gallagher y Shelly Barrios de Avila,copyright © 2018-2020,Translation by: Jonathan Gallagher y Shelly Barrios de Avila
822,swhonen,E:\Work\eBible\projects\swhonen\copr.htm,Kiswahili,,Biblica® Toleo Wazi Neno: Bibilia Takatifu™,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,"Biblica, Inc.",copyright © 2018,"Translation by: Biblica, Inc."
823,swhulb,E:\Work\eBible\projects\swhulb\copr.htm,Kiswahili (Swahili),,Biblia Takatifu,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,Door43 World Missions Community,copyright © 2019,Translation by: Door43 World Missions Community
828,tam2017,E:\Work\eBible\projects\tam2017\copr.htm,தமிழ் (Tamil),,இண்டியன் ரிவைஸ்டு வெர்ஸன் (IRV) - தமிழ்,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,Bridge Connectivity Solutions,copyright © 2017,Translation by: Bridge Connectivity Solutions
840,tczchongthu,E:\Work\eBible\projects\tczchongthu\copr.htm,"Chongthu (Chin, Thado)",Chongthu,PATHEN LEKHABU THENG,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,,,
843,tel2017,E:\Work\eBible\projects\tel2017\copr.htm,తెలుగు (Telugu),,ఇండియన్ రివైజ్డ్ వెర్షన్ (IRV) - తెలుగు -2019,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,Bridge Connectivity Solutions,copyright © 2017,Translation by: Bridge Connectivity Solutions
849,tglulb,E:\Work\eBible\projects\tglulb\copr.htm,Tagalog,,banal na Bibliya,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,Door43 World Missions Community,copyright © 2018,Translation by: Door43 World Missions Community
853,thd,E:\Work\eBible\projects\thd\copr.htm,Kuuk Thayorre (Thayore),,Kuuk Thayorre Bible Portions,by,4.0,http://creativecommons.org/licenses/by/4.0/,,,Translation by: Rev. Dr. Allen Harry Hall
892,twi,E:\Work\eBible\projects\twi\copr.htm,Akuapem Twi (Twi),Twi,Biblica® Wonhia ɛho kwamma nhoma Akuapem Twi Nkwa Asɛm™,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,"Biblica, Inc.",copyright © 2020,"Translation by: Biblica, Inc."
907,uigara,E:\Work\eBible\projects\uigara\copr.htm,Uyghur tili (Uyghur),,مۇقېددېس‭ ‬كالام (‭‬يەنگى‭ ‬يېزىق‭ ‬ ),by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,,,
908,uigcyr,E:\Work\eBible\projects\uigcyr\copr.htm,Uyghur tili (Uyghur),,Муқеддес Калам (кирил йезиқ),by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,,,
909,uiglat,E:\Work\eBible\projects\uiglat\copr.htm,Uyghur tili (Uyghur),,Muqeddes Kalam (latin yéziq),by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,,,
910,uigpin,E:\Work\eBible\projects\uigpin\copr.htm,Uyghur tili (Uyghur),,Muⱪeddes Kalam (yǝngi yeziⱪ),by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,,,
917,urd,E:\Work\eBible\projects\urd\copr.htm,उर्दू (Urdu),,इंडियन रिवाइज्ड वर्जन (IRV) उर्दू - 2019,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,Bridge Connectivity Solutions,copyright © 2017,
930,vieovcb,E:\Work\eBible\projects\vieovcb\copr.htm,Tiếng Việt,,Biblica® Thiên Ban Kinh Thánh Hiện Đại™,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,"Biblica, Inc.",copyright © 2015,"Translation by: Biblica, Inc."
937,wbi,E:\Work\eBible\projects\wbi\copr.htm,Kivwanji (Vwanji),,Vwanji Bible,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,Door43 World Mission Community,copyright © 2020,Translation by: Door43 World Mission Community
975,yij,E:\Work\eBible\projects\yij\copr.htm,Yindjibarndi,,NYIRTINGU MANYKA WANTHARNA NGURRAY,by,4.0,http://creativecommons.org/licenses/by/4.0/,Wycliffe Bible Translators,copyright © 1983,
980,yor,E:\Work\eBible\projects\yor\copr.htm,Yorùbá,,Biblica® ní oore ọ̀fẹ́ láti lo Bíbélì Mímọ́ ní Èdè Yorùbá Òde-Òní,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,"Biblica, Inc.",copyright © 2017,"Translation by: Biblica, Inc."
1004,zgam,E:\Work\eBible\projects\zgam\copr.htm,Mahanji (Kinga),,Mahanji Bible,by,4.0,http://creativecommons.org/licenses/by/4.0/,Door 43 International Mission Community,copyright © 2020,Translation by: Door 43 International Mission Community
